id;question;relv
0;Какие два моста являются символами Владивостока?;46, 118, 119, 182, 183, 184, 196, 212, 213, 214
1;Какие залы можно осмотреть в Храме всех религий?;13, 39, 40, 54, 55, 152, 153, 154, 155
2;Блюда из каких виды морских обитателей дегустируют во Владивостоке?;46, 196, 212, 213
3;Какие животные обитают в сафари-парке Шкотово?;46, 118, 119, 214
4;Что чаще всего посещают во время экскурсии в Царское Село?;3, 4, 6, 7, 27, 28, 44, 201
5;Что включает в себя экскурсия в Эрмитаж?;2, 3, 4, 5, 6, 7, 28, 44, 99, 125, 201
6;Какие объекты посещают во время экскурсии по Свияжску?;10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 40, 54, 55, 152, 153, 154, 155
7;Какие сувениры можно приобрести в Йошкар-Оле?;16, 17, 18, 19, 20
8;на что можно посмотреть в Кунсткамере?;23, 24, 25, 26, 27, 28
9;Как называются постройки на острове Кижи?;44
