id;question;relv
0;Подумываем о поездке с детьми по Ленинградской области. Есть ли варианты, включающие Петергоф и Кронштадт?;2, 3, 4, 5,  6, 7, 8, 23, 24, 25, 26, 27, 28, 125, 126, 201
1;Очень интересно посмотреть Псков и Пушкинские горы. Возможно ли это в рамках организованного тура?;100, 101, 102, 103, 104, 105, 106, 107
2;Планируем короткую поездку в Карелию на три дня. Что посоветуете, чтобы успеть увидеть Кивач, Марциальные воды и Петрозаводск?;9, 44, 58, 156, 201
3;Есть ли у вас туры во Владивосток, где можно посетить Русский остров и Приморский сафари-парк?;46, 118, 119, 182, 183, 184, 196, 212, 213, 214
4;Давно мечтаю побывать в Москве. Что можете предложить для первого знакомства с городом?;0, 1
5;Насколько реально найти туры в Карелию, чтобы побывать в центре шунгита? ;9, 156
6;Заинтересовалась морскими животными в районе Мурманска. Какие экскурсии или туры вы можете порекомендовать?;172, 173, 174, 176, 189
7;Меня интересует посетить горячие источники Камчатки. Что можете предложить?;198, 199, 200
8;Расскажите, пожалуйста, о ваших турах по Сахалину. Что обычно входит в обязательную программу для туристов?;168, 169, 170, 171, 225, 224
9;Очень хочу посетить Сахалин, а если повезёт, то и Курилы! Реально ли это объединить в одном туре?;171, 225, 224
10;Присматриваю санаторий для оздоровления. Что можете предложить в Калининградской области?;160, 161, 162
11;Помимо самого Калининграда, что стоит увидеть в области? Какие интересные места вы рекомендуете?;32, 33, 34, 35, 128, 129, 130, 131, 132, 180, 181, 211
12;В планах посещение Великого Новгорода. Какие у вас есть предложения для знакомства с этим городом?;108, 109, 110, 111, 112, 114, 115, 116, 117, 197
13;Какие туры в Новгородской области включают посещение дома-музея Достоевского?;108, 109, 114
14;Хочу увидеть природу Хакасии! Какие у вас есть туры по этому региону?;45, 47, 48, 59, 89, 90, 123, 147, 148, 149, 150, 151, 190
15;Какие у вас есть туры в Дагестан с посещением гор и, возможно, аулов?;60, 61, 86, 127, 164, 177, 202, 210, 219, 220, 221, 222
16;Какие варианты у вас есть для посещения Байкала? Что включают в себя такие туры?;36, 41, 42, 43, 49, 50, 51, 56, 57, 67, 68, 69, 113, 120, 121, 122, 124, 137, 138, 139, 142, 175, 185, 191, 195, 223
17;Хочу погулять по Грозному. Что интересного вы можете мне предложить?;66, 72, 83, 86, 87, 135, 136, 145
18; Планирую поездку на курорт Домбай. Что интересного, кроме курорта, там можно посетить?;62, 64, 65, 144, 163, 165, 179, 186, 187
19;Хочу поехать в Ингушетию, чтобы увидеть горы. Что посоветуете?;65, 66, 72, 88, 133
20;Что включают в себя туры по Йошкар-Оле?;16, 17, 18, 19, 20
